alpha_0_1,alpha_0_12,alpha_0_5,alpha_1_random,greedy,optimal
1701,1783,3434,5854,1734,1326
1718,1786,3458,5931,1734,1326
1720,1822,3492,5978,1734,1326
1731,1823,3501,5985,1734,1326
1734,1823,3503,5988,1734,1326
1735,1832,3504,6004,1734,1326
1738,1838,3506,6010,1734,1326
1738,1839,3515,6014,1734,1326
1740,1839,3519,6033,1734,1326
1742,1840,3524,6040,1734,1326
1742,1842,3527,6045,1734,1326
1743,1849,3530,6048,1734,1326
1745,1851,3537,6060,1734,1326
1746,1854,3539,6060,1734,1326
1748,1854,3541,6061,1734,1326
1752,1855,3545,6071,1734,1326
1753,1855,3546,6082,1734,1326
1753,1856,3547,6083,1734,1326
1754,1856,3550,6085,1734,1326
1754,1858,3550,6087,1734,1326
1756,1859,3551,6090,1734,1326
1761,1861,3552,6097,1734,1326
1762,1864,3552,6097,1734,1326
1764,1865,3554,6100,1734,1326
1766,1866,3554,6106,1734,1326
1766,1867,3555,6111,1734,1326
1766,1867,3558,6116,1734,1326
1767,1871,3558,6122,1734,1326
1767,1871,3561,6123,1734,1326
1768,1871,3566,6127,1734,1326
1768,1871,3568,6127,1734,1326
1770,1871,3568,6128,1734,1326
1770,1871,3570,6133,1734,1326
1771,1872,3572,6135,1734,1326
1772,1874,3572,6136,1734,1326
1773,1874,3573,6136,1734,1326
1774,1876,3586,6145,1734,1326
1774,1878,3587,6147,1734,1326
1775,1879,3590,6147,1734,1326
1776,1879,3592,6148,1734,1326
1777,1883,3595,6152,1734,1326
1777,1887,3595,6154,1734,1326
1778,1887,3598,6154,1734,1326
1779,1887,3601,6156,1734,1326
1781,1888,3603,6162,1734,1326
1781,1889,3603,6162,1734,1326
1781,1889,3608,6167,1734,1326
1781,1889,3608,6172,1734,1326
1782,1890,3609,6173,1734,1326
1783,1891,3610,6179,1734,1326
1783,1891,3612,6179,1734,1326
1784,1892,3617,6189,1734,1326
1784,1893,3619,6190,1734,1326
1784,1893,3621,6190,1734,1326
1785,1894,3621,6196,1734,1326
1785,1895,3625,6197,1734,1326
1785,1896,3626,6200,1734,1326
1787,1896,3627,6203,1734,1326
1788,1899,3628,6204,1734,1326
1789,1899,3629,6209,1734,1326
1789,1899,3632,6212,1734,1326
1789,1900,3633,6212,1734,1326
1790,1901,3634,6214,1734,1326
1791,1901,3636,6216,1734,1326
1791,1901,3636,6220,1734,1326
1792,1902,3638,6224,1734,1326
1794,1902,3639,6227,1734,1326
1795,1902,3640,6230,1734,1326
1797,1903,3642,6243,1734,1326
1797,1903,3643,6245,1734,1326
1798,1903,3644,6246,1734,1326
1799,1905,3648,6248,1734,1326
1799,1906,3653,6250,1734,1326
1799,1907,3655,6251,1734,1326
1799,1908,3657,6251,1734,1326
1800,1908,3658,6255,1734,1326
1800,1908,3658,6256,1734,1326
1800,1910,3658,6260,1734,1326
1801,1913,3661,6270,1734,1326
1804,1913,3662,6276,1734,1326
1805,1914,3675,6281,1734,1326
1805,1914,3675,6288,1734,1326
1805,1916,3675,6296,1734,1326
1806,1917,3677,6303,1734,1326
1807,1918,3679,6305,1734,1326
1807,1919,3681,6319,1734,1326
1811,1923,3682,6323,1734,1326
1811,1925,3685,6330,1734,1326
1813,1927,3687,6331,1734,1326
1815,1930,3690,6335,1734,1326
1817,1931,3690,6338,1734,1326
1817,1933,3698,6343,1734,1326
1822,1936,3703,6351,1734,1326
1824,1942,3709,6362,1734,1326
1828,1943,3712,6388,1734,1326
1829,1954,3716,6391,1734,1326
1833,1956,3719,6404,1734,1326
1835,1957,3746,6409,1734,1326
1838,1970,3753,6414,1734,1326
1842,1975,3778,6449,1734,1326

