problema;dim;c_otimo;t_guloso;c_guloso;t_local_2opt_ma;c_local_2opt_ma;t_local_2opt_pa;c_local_2opt_pa;t_local_local_viz_ma;c_local_local_viz_ma;t_local_local_viz_pa;c_local_local_viz_pa
p43.atsp ;43;5620;0.000314;5768;0.004168;5674;0.013499;5661;0.000842;5674;0.000422;5674
ftv33.atsp;34;1286;0.000159;1683;0.003478;1590;0.002689;1590;0.000615;1590;0.000293;1590
ftv38.atsp;39;1530;0.000183;1778;0.005169;1683;0.002755;1683;0.000724;1683;0.000263;1683
ft70.atsp;70;38673;0.000770;43186;0.048774;41427;0.030248;42254;0.002694;42474;0.000415;42443
ftv70.atsp;71;1950;0.000649;2571;0.036383;2380;0.028929;2359;0.001237;2520;0.000700;2520
ftv170.atsp;171;2755;0.001871;3923;0.092966;3771;0.078315;3822;0.005813;3882;0.002052;3848
rbg323.atsp;323;1326;0.009445;1734;8.216426;1526;4.828991;1490;0.034228;1717;0.015700;1717
rbg358.atsp;358;1163;0.017373;1812;15.009965;1438;8.252048;1379;0.040417;1765;0.032366;1777
rbg403.atsp;403;2465;0.020961;3535;54.019899;2639;25.178579;2637;0.061876;3489;0.020184;3497
rbg443.atsp;443;2720;0.028805;3922;82.566443;2875;29.704915;2912;0.081255;3844;0.044541;3881
